crates/ggen-core/src/pki.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: PKI/crypto
crates/ggen-core/src/pqc.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: post-quantum crypto
crates/ggen-core/src/validation/shacl.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate; P0-01 called this an always-pass stub — 2026-07 skim shows shape types + ShapeLoader are real and validator.rs implements minCount/maxCount/datatype SPARQL checks, so the stub claim looks stale; constraint coverage (sh:pattern, sh:in) unverified
crates/ggen-core/src/validation/	IRREDUCIBLY-CUSTOM	E-ledger candidate: SHACL/SPARQL validation gates, input compiler, soundness gates, preflight
crates/ggen-core/src/sync/	IRREDUCIBLY-CUSTOM	E-ledger candidate: sync coherence gate
crates/ggen-core/src/reverse_sync/	IRREDUCIBLY-CUSTOM	E-ledger candidate: AST extraction / inverse mu-pipeline
crates/ggen-core/src/cli_generator/	IRREDUCIBLY-CUSTOM	E-ledger candidate: CLI generation from ontology (ontology_parser.rs, cli/domain layer emitters)
crates/ggen-core/src/project_generator/	IRREDUCIBLY-CUSTOM	E-ledger candidate BUT FLAGGED: rust.rs/nextjs.rs scaffold via hardcoded string literals (~250 quoted strings) — convert payload to .tera templates + TTL
crates/ggen-core/src/prompt_mfg/	IRREDUCIBLY-CUSTOM	E-ledger candidate: prompt manufacturing IR/emitter/validator (+ embedded templates/)
crates/ggen-core/src/lifecycle/production.rs	GENERATABLE-WITH-SPEC	production-readiness checklist/tracking tables; data-shaped
crates/ggen-core/src/lifecycle/integration_test.rs	GENERATABLE-WITH-SPEC	test code compiled into src/ (should live in tests/)
crates/ggen-core/src/lifecycle/	IRREDUCIBLY-CUSTOM	E-ledger candidate: lifecycle DAG, state machine, exec, hooks
crates/ggen-core/src/agent/	GENERATABLE-WITH-SPEC	agent facade with serde-serializable contract types over packs subsystem; facade wiring per module doc
crates/ggen-core/src/prevention/	GENERATABLE-WITH-SPEC	DfLSS contracts/state-machine/error-taxonomy boilerplate (PhantomData patterns)
crates/ggen-core/src/registry.rs	GENERATABLE-WITH-SPEC	registry HTTP client wiring (fetch/search/resolve)
crates/ggen-core/src/gpack.rs	GENERATABLE-WITH-SPEC	gpack manifest serde types
crates/ggen-core/src/lockfile.rs	GENERATABLE-WITH-SPEC	lockfile serde types
crates/ggen-core/src/ontology_pack.rs	GENERATABLE-WITH-SPEC	ontology pack manifest types
crates/ggen-core/src/audit/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/cache.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/cleanroom/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/codegen_lib/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/delta.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/dflss.rs	GENERATABLE-WITH-SPEC	quality-gate definition tables
crates/ggen-core/src/drift/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/e2e_tests.rs	GENERATABLE-WITH-SPEC	test code compiled into src/ (should move to tests/)
crates/ggen-core/src/generator.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/genesis.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/github.rs	GENERATABLE-WITH-SPEC	GitHub API client wiring
crates/ggen-core/src/inject.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/lean_six_sigma.rs	GENERATABLE-WITH-SPEC	LSS metric/definition tables
crates/ggen-core/src/lib.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/lockfile_unified/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/manifest/	GENERATABLE-WITH-SPEC	manifest types/parser/validation; config-schema shaped
crates/ggen-core/src/manufacturing/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/membrane/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/metrics.rs	GENERATABLE-WITH-SPEC	metrics structs + emission wiring
crates/ggen-core/src/naming.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/ontology/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/ontology_core/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/pack_resolver.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/packs/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/parallel_generator.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/parts_execution.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/parts_foundry.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/parts_foundry/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/pipeline.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/poc.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/poka_yoke/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/preprocessor.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/protection/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/receipt/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/register.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/resolver.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/schema/	GENERATABLE-WITH-SPEC	schema parser + generators; mixed-dir note: grammar.pest/parser.rs algorithmic minority
crates/ggen-core/src/semantic_bit/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/simple_tracing.rs	GENERATABLE-WITH-SPEC	observability wiring boilerplate
crates/ggen-core/src/snapshot.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/stewardship.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/stpnt/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/streaming_generator.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/telemetry.rs	GENERATABLE-WITH-SPEC	observability wiring boilerplate
crates/ggen-core/src/template/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/template_cache.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/template_types.rs	GENERATABLE-WITH-SPEC	template frontmatter type definitions
crates/ggen-core/src/templates/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/tera_env.rs	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/tracing.rs	GENERATABLE-WITH-SPEC	observability wiring boilerplate
crates/ggen-core/src/transport/	IRREDUCIBLY-CUSTOM	E-ledger candidate: generation-engine core module (directory-level classification, documentSymbol/header-skim sampling basis)
crates/ggen-core/src/types/	GENERATABLE-WITH-SPEC	type-definition modules (codeowners, enterprise, fmea, path_protection): serde structs, no algorithms
